SOURCE_ID,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,anomaly_score,anomaly_label,anomaly_rank,dominant_anomaly_feature,dominant_feature_zscore
1204175686568832,43.20673790147284,1.7172111637751462,0.1187318891291825,8.600507945453217,-3.568003910202773,13.836671,14.323988,13.183578,1.1404104,163.1636,-0.0869395843936267,1,242,radial_velocity,4.093805923589827
1069210634166144,46.1309255542632,2.9631923552918225,4.975720489403623,-3.2521251739865256,-6.33133539714266,14.659999,15.546722,13.567302,1.9794207,-42.071365,-0.0869711310489751,1,243,bp_rp,2.2075798354445113
565943546370432,46.55966020891284,1.3538821127904828,4.9021316210139805,-35.93993834715745,-13.596894945809304,11.877888,12.301831,11.287523,1.014308,-12.274888,-0.0871683664716677,1,244,pmra,2.0427329214501224
129815387282432,44.8205193637662,0.9146218609800474,3.774567604628697,53.477230964579405,-30.4110451125744,14.229513,14.944254,13.415091,1.5291634,1.6115,-0.0873350434679053,1,245,pmra,1.95196273558119
378682972232064,43.947463687154745,1.2511801954738628,4.98575672060957,27.285957629590516,-6.6674949609283365,14.837798,15.783801,13.877519,1.9062824,19.8763,-0.0875627281171786,1,246,bp_rp,2.023786287081849
1344019821768192,43.94370825373311,2.279288704254561,2.873568070240493,16.184969170119302,-4.596615520165294,10.850227,11.203799,10.330445,0.87335396,33.27607,-0.0875913795258852,1,247,phot_g_mean_mag,1.684443513200497
312025079826176,44.3724224068718,1.08442278195829,5.469907031778189,-26.855424155372788,-20.93694939909941,12.324314,12.809446,11.681911,1.1275349,-4.943618,-0.0876075730895713,1,248,pmra,1.6368839142908438
1120784601433344,46.42530998819536,3.449014358763696,2.909970461563287,-5.5229336404861264,-37.59962703624987,14.385667,15.012472,13.631596,1.3808765,-41.802982,-0.0893237778571833,1,249,dec,2.151468267828383
383836933163520,43.80673496392763,1.3302990071673106,2.9421178231496863,23.00289871096364,-10.683898806715346,11.561577,11.834402,11.12623,0.70817184,29.592148,-0.0895018139435732,1,250,phot_bp_mean_mag,1.2623445663274362
1308526211874304,44.64147816303578,2.2698799728502186,4.831560062751381,2.685339922863984,-54.10807400153811,14.696948,15.578127,13.764924,1.8132029,53.885403,-0.090298782532866,1,251,pmdec,2.1062442258582506
945034539820032,45.43754160142723,2.5526018822190872,2.1217007148549447,15.10330088056822,-12.884669600500576,10.51743,10.797973,10.078188,0.71978474,20.29042,-0.0905330300883692,1,252,phot_bp_mean_mag,1.9399628533037
1528939638731648,43.099978740250606,2.742867373102988,2.727041011759932,15.203737134589732,-7.680770374812807,12.139963,12.459982,11.644981,0.81500053,32.382862,-0.0905442751340524,1,253,ra,1.6949224610621332
1372435325207808,44.31905060872429,2.431754738526937,1.9949002921525227,47.50072356218381,-26.59061812929624,12.836733,13.200126,12.297371,0.9027548,-66.98675,-0.0905570243941076,1,254,radial_velocity,2.054892993816687
211316686712704,45.36253068798538,0.9279625091651522,0.9105956257264198,11.186877811576752,8.45664336610793,12.106619,12.6274185,11.427505,1.199914,82.20822,-0.0908863949974689,1,255,radial_velocity,1.9310012293356886
753478998367360,47.49619050200315,2.3923261552514044,2.524876343147475,-2.241003351864672,2.0057896628499643,11.363077,11.825278,10.741385,1.0838928,-2.1164734,-0.0909134593454243,1,256,ra,1.8382052269747502
379335807262848,43.89588456241069,1.2439045819608283,2.509893599309128,21.406841322804603,-9.550578626230651,11.095116,11.480393,10.53961,0.9407835,19.521185,-0.0913908107395244,1,257,phot_rp_mean_mag,1.5180034488917016
951872127556480,45.72356337892048,2.509653868876604,1.3640128487788654,-6.641477829759131,-5.213902218908,10.875713,11.358978,10.225559,1.133419,-16.756548,-0.0924032277224414,1,258,phot_rp_mean_mag,1.7423865345239975
1090273153751552,46.051857370609696,3.238675065208964,0.6527792402878273,1.471252361678,-1.4218070730010608,11.590088,12.172944,10.8677845,1.3051596,27.206644,-0.092550375005009,1,259,dec,1.8545816109841302
1351162351587072,44.07099755995576,2.3932993814125507,3.0550053888593194,-7.94680564160281,-45.97761450668653,11.896657,12.226363,11.392717,0.8336458,-19.403429,-0.0926439532274243,1,260,pmdec,1.7151361445271998
1164696347204480,43.96959423917435,1.6427374489289688,3.268213661020332,10.523903809605496,9.137787320239728,11.084143,11.375228,10.615914,0.7593136,17.495054,-0.0927762343251621,1,261,phot_bp_mean_mag,1.562552973564246
1063678716293632,46.02691058063945,2.9319215613744944,2.4054962016806503,52.5231157465632,-64.38770533377301,13.686123,14.096315,13.105387,0.99092865,-18.996887,-0.0931044928551184,1,262,pmdec,2.600736190265281
1481832437172608,42.64878900804518,2.2863061900950843,2.9819098880232837,-8.075997572098585,-35.95688382988408,13.119484,13.562845,12.513478,1.049367,-4.7798133,-0.093461667490299,1,263,ra,2.0575325949237135
311608467497984,44.34357405461938,1.0630610234982982,2.551146400918084,-23.904788677840845,-34.23069412949669,12.380554,12.752624,11.8357725,0.91685104,-28.982693,-0.0944713939082743,1,264,pmra,1.5050648149131116
803060100802688,46.84045018359495,2.505874745391752,0.6713472001548308,10.047239864165752,-3.903695426389282,14.470784,14.705707,14.081567,0.6241398,120.065125,-0.0945867824833309,1,265,radial_velocity,2.942386659728739
718397705512320,47.14579758341039,2.0988956095145177,1.072049273013186,-0.1517064765677141,-16.100581133449317,13.909187,14.212746,13.435748,0.77699757,180.85971,-0.0946188384101354,1,266,radial_velocity,4.566575364954165
335011744790016,44.52692775287892,1.1217626088489878,2.6500060346291003,-10.403470873552196,-7.070311397183462,11.32823,11.596413,10.901697,0.6947155,-4.7675843,-0.0947887900397495,1,267,phot_bp_mean_mag,1.4179420057074559
1505471937168384,42.51508126936155,2.4672565399933064,2.8829990674563875,-9.632195324632622,-19.274906053549085,12.945075,13.365156,12.364156,1.0010004,-10.57066,-0.0947974400042874,1,268,ra,2.1649902287342364
1259426145147008,43.53383415974495,2.185994183978911,3.442091876741304,21.35428142123407,-11.989589051371349,14.991891,15.8124275,13.981238,1.8311892,7.9304123,-0.0952272017880049,1,269,bp_rp,1.835080155193261
968330442234112,45.57796061541637,2.6137312559984367,2.613489730707849,26.933266834157536,12.815069106453857,14.936728,15.641234,14.123647,1.5175877,82.1957,-0.0953432500773924,1,270,radial_velocity,1.930666744897816
35596688952320,45.35658668910957,0.3452306564603247,1.2217105877889616,5.002953833062129,-16.8727851461367,12.701134,12.953921,12.2933,0.66062164,-1.7027092,-0.09558851352989,1,271,dec,2.229415357725639
979772235100544,45.74741118140146,2.8278468678073563,3.678546155790919,-10.766891687151224,-61.4221633173088,13.629966,14.142113,12.962014,1.1800985,-55.24468,-0.0957672781735199,1,272,pmdec,2.4580815901285504
731179527641216,47.06377929656609,2.1355023036769865,4.706955586729316,42.951038144901176,15.054788888001085,14.010584,14.6898985,13.182475,1.5074234,48.836857,-0.0958246779422365,1,273,ra,1.4906869350128429
1611265571527936,43.8940558998349,3.083555214417885,2.260687820823732,11.359031631241953,-10.784682521462464,12.137245,12.5240135,11.581117,0.94289684,34.351555,-0.0960603313365943,1,274,dec,1.6356352927130768
1027837213547776,46.76902009986792,2.912817970750593,5.515040088454088,-24.08723009252263,-3.3276254308893565,12.6854,13.188468,12.026074,1.1623936,22.295153,-0.0963181992175884,1,275,pmra,1.5132153516892328
1485753742365696,42.486622915530944,2.30837791807497,1.4121860748821196,0.3514512167881122,8.65268865719762,12.823503,13.17747,12.299925,0.87754536,18.149366,-0.0970963307470469,1,276,ra,2.1878615104931454
1678477514830080,43.45333233284407,3.3401195091884897,1.6397787577898824,-2.6350981145032413,-14.828532372896484,13.688181,14.051333,13.153774,0.89755917,-3.7953684,-0.0971021360662365,1,277,dec,1.9977669441642505
